tree_id	token_index	token	head_index	dep_type
0	0	สาธารณรัฐ	4	_
0	1	สังคมนิยม	0	_
0	2	โซเวียต	0	_
0	3	อับคาเซีย	0	_
0	4	เป็น	ROOT	_
0	5	สาธารณรัฐ	4	_
0	6	ที่	7	_
0	7	มี	5	_
0	8	อยู่	7	_
0	9	เป็น	11	_
0	10	เวลา	9	_
0	11	สั้น	7	_
0	12	ๆ	11	_
0	13	ใน	14	_
0	14	ภูมิภาค	7	_
0	15	คอเคซัส	14	_
0	16	ของ	17	_
0	17	สหภาพ	14	_
0	18	โซเวียต	17	_
1	0	แมว	2	_
1	1	เป็น	2	_
1	2	สปีชีส์	ROOT	_
1	3	สัตว์	2	_
1	4	เลี้ยง	3	_
1	5	ของ	6	_
1	6	สัตว์	2	_
1	7	เลี้ยง	6	_
1	8	ลูก	7	_
1	9	ด้วย	10	_
1	10	นม	7	_
2	0	ชาว	13	_
2	1	ยุโรป	0	_
2	2	คน	0	_
2	3	แรก	2	_
2	4	ที่	5	_
2	5	เดินทาง	0	_
2	6	ถึง	7	_
2	7	พื้นที่	5	_
2	8	แถบ	7	_
2	9	ตัลกาวาโน	8	_
2	10	ใน	11	_
2	11	ปัจจุบัน	9	_
2	12	คือ	13	_
2	13	ฆวน	ROOT	_
2	14	เบาติสตา	13	_
2	15	ปัสเตเน	13	_
3	0	สถานี	2	_
3	1	ไฉวัน	0	_
3	2	เปิด	ROOT	_
3	3	ให้	2	_
3	4	บริการ	3	_
3	5	ครั้ง	2	_
3	6	แรก	5	_
3	7	วันที่	2	_
3	8	31	7	_
3	9	พฤษภาคม	8	_
3	10	พ.ศ.	11	_
3	11	1985	8	_
4	0	เมื่อ	2	_
4	1	จิวยี่	2	_
4	2	เสียชีวิต	7	_
4	3	ไป	2	_
4	4	แล้ว	2	_
4	5	โลซก	7	_
4	6	ได้	7	_
4	7	ขึ้น	ROOT	_
4	8	เป็น	7	_
4	9	แม่ทัพ	8	_
4	10	ใหญ่	9	_
4	11	แทน	8	_
