tree_id	token_index	token
0	0	สาธารณรัฐ
0	1	สังคมนิยม
0	2	โซเวียต
0	3	อับคาเซีย
0	4	เป็น
0	5	สาธารณรัฐ
0	6	ที่
0	7	มี
0	8	อยู่
0	9	เป็น
0	10	เวลา
0	11	สั้น
0	12	ๆ
0	13	ใน
0	14	ภูมิภาค
0	15	คอเคซัส
0	16	ของ
0	17	สหภาพ
0	18	โซเวียต
1	0	แมว
1	1	เป็น
1	2	สปีชีส์
1	3	สัตว์
1	4	เลี้ยง
1	5	ของ
1	6	สัตว์
1	7	เลี้ยง
1	8	ลูก
1	9	ด้วย
1	10	นม
2	0	ชาว
2	1	ยุโรป
2	2	คน
2	3	แรก
2	4	ที่
2	5	เดินทาง
2	6	ถึง
2	7	พื้นที่
2	8	แถบ
2	9	ตัลกาวาโน
2	10	ใน
2	11	ปัจจุบัน
2	12	คือ
2	13	ฆวน
2	14	เบาติสตา
2	15	ปัสเตเน
3	0	สถานี
3	1	ไฉวัน
3	2	เปิด
3	3	ให้
3	4	บริการ
3	5	ครั้ง
3	6	แรก
3	7	วันที่
3	8	31
3	9	พฤษภาคม
3	10	พ.ศ.
3	11	1985
4	0	เมื่อ
4	1	จิวยี่
4	2	เสียชีวิต
4	3	ไป
4	4	แล้ว
4	5	โลซก
4	6	ได้
4	7	ขึ้น
4	8	เป็น
4	9	แม่ทัพ
4	10	ใหญ่
4	11	แทน
5	0	ทะเลสาบ
5	1	แห่ง
5	2	นี้
5	3	มี
5	4	พื้นที่
5	5	17,700
5	6	ตาราง
5	7	กิโลเมตร
6	0	พระบาทสมเด็จ
6	1	พระจุลจอมเกล้า
6	2	เจ้าอยู่หัว
6	3	โปรด
6	4	ให้
6	5	เปลี่ยน
6	6	คำ
6	7	นำ
6	8	พระนาม
6	9	เป็น
6	10	พระเจ้าน้องนางเธอ
7	0	ส่วน
7	1	มณฑป
7	2	ทำ
7	3	ย่อเก็จ
7	4	มี
7	5	ซุ้ม
7	6	พระ
7	7	ทั้ง
7	8	4
7	9	ด้าน
8	0	ผู้ป่วย
8	1	ส่วนใหญ่
8	2	สามารถ
8	3	รักษา
8	4	แบบ
8	5	ประคับประคอง
8	6	อาการ
8	7	ได้
8	8	ที่
8	9	บ้าน
9	0	เกาะ
9	1	นี้
9	2	เป็น
9	3	ที่
9	4	รู้จัก
9	5	กัน
9	6	ดี
9	7	ใน
9	8	หมู่
9	9	พวก
9	10	ไวกิง
10	0	พระองค์
10	1	ทำ
10	2	สงคราม
10	3	กับ
10	4	อังกฤษ
11	0	โครงการ
11	1	นี้
11	2	กลับ
11	3	ถูก
11	4	ปล่อย
11	5	ละเลย
