tree_id	token_index	token	head_index
0	0	สาธารณรัฐ	4
0	1	สังคมนิยม	0
0	2	โซเวียต	0
0	3	อับคาเซีย	0
0	4	เป็น	ROOT
0	5	สาธารณรัฐ	4
0	6	ที่	7
0	7	มี	5
0	8	อยู่	7
0	9	เป็น	11
0	10	เวลา	9
0	11	สั้น	7
0	12	ๆ	11
0	13	ใน	14
0	14	ภูมิภาค	7
0	15	คอเคซัส	14
0	16	ของ	17
0	17	สหภาพ	14
0	18	โซเวียต	17
1	0	แมว	2
1	1	เป็น	2
1	2	สปีชีส์	ROOT
1	3	สัตว์	2
1	4	เลี้ยง	3
1	5	ของ	6
1	6	สัตว์	2
1	7	เลี้ยง	6
1	8	ลูก	7
1	9	ด้วย	10
1	10	นม	7
2	0	ชาว	13
2	1	ยุโรป	0
2	2	คน	0
2	3	แรก	2
2	4	ที่	5
2	5	เดินทาง	0
2	6	ถึง	7
2	7	พื้นที่	5
2	8	แถบ	7
2	9	ตัลกาวาโน	8
2	10	ใน	11
2	11	ปัจจุบัน	9
2	12	คือ	13
2	13	ฆวน	ROOT
2	14	เบาติสตา	13
2	15	ปัสเตเน	13
3	0	สถานี	2
3	1	ไฉวัน	0
3	2	เปิด	ROOT
3	3	ให้	2
3	4	บริการ	3
3	5	ครั้ง	2
3	6	แรก	5
3	7	วันที่	2
3	8	31	7
3	9	พฤษภาคม	8
3	10	พ.ศ.	11
3	11	1985	8
4	0	เมื่อ	2
4	1	จิวยี่	2
4	2	เสียชีวิต	7
4	3	ไป	2
4	4	แล้ว	2
4	5	โลซก	7
4	6	ได้	7
4	7	ขึ้น	ROOT
4	8	เป็น	7
4	9	แม่ทัพ	8
4	10	ใหญ่	9
4	11	แทน	8
5	0	ทะเลสาบ	3
5	1	แห่ง	0
5	2	นี้	1
5	3	มี	ROOT
5	4	พื้นที่	3
5	5	17,700	6
5	6	ตาราง	4
5	7	กิโลเมตร	6
6	0	พระบาทสมเด็จ	1
6	1	พระจุลจอมเกล้า	3
